LOCATION,TIME,Value
AUS,2018,1732.538743
AUS,2019,1722.313342
AUS,2020,1683.111932
AUS,2021,1694.129053
AUT,2018,1502
AUT,2019,1508.643477
AUT,2020,1400.693582
AUT,2021,1442.453757
BEL,2018,1580
BEL,2019,1577
BEL,2020,1443
BEL,2021,1493.126386
CAN,2018,1708
CAN,2019,1690
CAN,2020,1644
CAN,2021,1684.9984
CZE,2018,1784.666363
CZE,2019,1786.033445
CZE,2020,1703.596535
CZE,2021,1752.820633
FRA,2018,1514.410327
FRA,2019,1518.157256
FRA,2020,1407.257635
FRA,2021,1490.331744
GRC,2018,1961.081181
GRC,2019,1916.660051
GRC,2020,1730.737639
GRC,2021,1872.237051
ITA,2018,1719.4
ITA,2019,1710.2
ITA,2020,1553.6
ITA,2021,1668.5
JPN,2018,1680.167068
JPN,2019,1643.81852
JPN,2020,1597.981379
JPN,2021,1607
KOR,2018,1993
KOR,2019,1967
KOR,2020,1908
KOR,2021,1915
MEX,2018,2149.408162
MEX,2019,2138.889734
MEX,2020,2123.537252
MEX,2021,2127.807987
NZL,2018,1759
NZL,2019,1783
NZL,2020,1739
NZL,2021,1730
USA,2017,1777.570667
USA,2018,1781.567167
USA,2019,1777.241
USA,2020,1767.095
USA,2021,1791
